order_no,user_id,pay_type,pay_status,amount,gift_amount,real_amount,create_time,is_first_order
141101349,14677,1,4,1160,11.6,1171.6,1766943740,0
114229016,14677,1,2,353,3.53,356.53,1767031294,0
144860668,14714,2,4,710,7.1,717.1,1764872551,1
144500667,14714,2,2,266,2.66,268.66,1765369636,0
148013496,14714,1,4,203,2.03,205.03,1766029237,0
111129559,14714,2,5,463,4.63,467.63,1766505261,0
131847468,14742,5,2,253,2.53,255.53,1765607390,1
131484758,14889,NA,4,337,3.37,340.37,1765903687,1
101149263,14889,4,1,477,4.77,481.77,1767010841,0
114112917,14910,2,4,84,0.84,84.84,1764937613,1
126481760,14910,NA,4,208,2.08,210.08,1765907318,0
125461192,14987,1,4,255,2.55,257.55,1765435035,1
118515914,15047,2,1,248,2.48,250.48,1764968869,1
130308054,15047,1,4,65,0.65,65.65,1765646036,0
111936307,15175,3,2,274,2.74,276.74,1766761461,1
128772833,15284,2,4,4549,45.49,4594.49,1764576343,1
126599383,15284,3,2,12495,124.95,12619.95,1764765275,0
140792071,15284,2,NA,16936,169.36,17105.36,1765174534,0
128442952,15284,1,4,70725,707.25,71432.25,1765337158,0
149502775,15284,2,2,1780,17.8,1797.8,1765346840,0
139946220,15284,5,2,100444,1004.44,101448.44,1765778889,0
126030568,15284,3,5,5658,56.58,5714.58,1765781447,0
112612754,15284,2,4,3540,35.4,3575.4,1765888540,0
118623100,15284,3,4,3131,31.31,3162.31,1766040139,0
134746191,15284,5,2,2821,28.21,2849.21,1766077491,0
123221232,15284,5,2,1087,10.87,1097.87,1766233651,0
133354299,15284,2,2,2207,22.07,2229.07,1766320123,0
147247771,15284,2,3,126984,1269.84,128253.84,1766414967,0
134883113,15284,5,2,37855,378.55,38233.55,1766474044,0
114267293,15284,5,4,9421,94.21,9515.21,1766731229,0
106627009,15284,4,2,2977,29.77,3006.77,1766770814,0
137516939,15284,3,2,5595,55.95,5650.95,1766963028,0
107900805,15284,4,4,16770,167.7,16937.7,1766990501,0
133174207,15284,3,2,16146,161.46,16307.46,1767077836,0
116039323,15284,3,3,1137,11.37,1148.37,1767116986,0
123194815,15359,4,5,231,2.31,233.31,1766077624,1
146071590,15393,3,2,360,3.6,363.6,1766516230,1
142781742,15399,2,2,334,3.34,337.34,1766026211,1
145252553,15422,3,1,879,8.79,887.79,1766394605,1
106265324,15422,2,5,258,2.58,260.58,1766463775,0
141056592,15660,3,5,924,9.24,933.24,1765195985,1
128195343,15660,5,4,172,1.72,173.72,1765387900,0
129648740,15675,1,4,245,2.45,247.45,1766103135,1
114839513,15819,1,2,289,2.89,291.89,1766637393,1
125370003,15936,2,2,13549,135.49,13684.49,1764568862,1
148375614,15936,3,4,16503,165.03,16668.03,1764608695,0
122330197,15936,4,2,2610,26.1,2636.1,1764662408,0
132865369,15936,5,4,9693,96.93,9789.93,1764675424,0
122280600,15936,1,2,2285,22.85,2307.85,1765089036,0
129739149,15936,1,2,36284,362.84,36646.84,1765607881,0
109804637,15936,2,5,2798,27.98,2825.98,1766037904,0
127247511,15936,2,4,10293,102.93,10395.93,1766158546,0
107144146,15936,4,4,12322,123.22,12445.22,1766241408,0
117303294,15936,3,1,22299,222.99,22521.99,1766400746,0
125376879,15936,5,2,5914,59.14,5973.14,1766462742,0
127802607,15936,5,4,2922,29.22,2951.22,1766479325,0
124881206,15936,3,1,31116,311.16,31427.16,1766921302,0
140820292,15936,4,2,4005,40.05,4045.05,1767098106,0
115987381,15936,1,4,2306,23.06,2329.06,1767115496,0
109641448,15939,5,3,110,1.1,111.1,1764923704,1
124514387,16126,4,1,159,1.59,160.59,1764829362,1
121564798,16143,3,2,2265,22.65,2287.65,1764752316,1
132251195,16143,4,4,35561,355.61,35916.61,1764798744,0
117599270,16143,4,2,12545,125.45,12670.45,1764851852,0
110239898,16143,1,2,20535,205.35,20740.35,1764936710,0
111386540,16143,5,2,5691,56.91,5747.91,1765128508,0
125673598,16143,4,2,1507,15.07,1522.07,1765129302,0
132832220,16143,5,2,4122,41.22,4163.22,1765174247,0
121683069,16143,3,3,93150,931.5,94081.5,1765220426,0
127122808,16143,4,2,980,9.8,989.8,1765472913,0
136676531,16143,4,4,2918,29.18,2947.18,1765646950,0
128426536,16143,5,5,40642,406.42,41048.42,1765652008,0
132897526,16143,4,2,1719,17.19,1736.19,1765735941,0
108372749,16143,3,2,1964,19.64,1983.64,1765866427,0
110520153,16143,5,5,2477,24.77,2501.77,1765906314,0
121084916,16143,2,2,74749,747.49,75496.49,1765992055,0
140122768,16143,4,5,10331,103.31,10434.31,1766305541,0
130958232,16143,1,4,1510,15.1,1525.1,1766321776,0
101342764,16143,3,4,13039,130.39,13169.39,1766492963,0
113185278,16143,4,4,24049,240.49,24289.49,1766942296,0
124349490,16143,4,4,3624,36.24,3660.24,1766990433,0
113884183,16143,2,NA,56662,566.62,57228.62,1767057989,0
120667004,16143,1,5,4286,42.86,4328.86,1767090548,0
113978779,16305,5,2,16156,161.56,16317.56,1764661444,1
126745618,16305,5,4,1087,10.87,1097.87,1764971897,0
149689195,16305,3,4,6176,61.76,6237.76,1765024172,0
145401895,16305,3,4,4401,44.01,4445.01,1765282113,0
144016733,16305,3,2,1118,11.18,1129.18,1765285646,0
111167759,16305,1,4,4543,45.43,4588.43,1765347220,0
120809630,16305,1,1,3597,35.97,3632.97,1765544348,0
130495378,16305,2,5,2483,24.83,2507.83,1765607736,0
144061660,16305,2,4,37346,373.46,37719.46,1765700316,0
138577300,16305,3,3,20024,200.24,20224.24,1765755285,0
104926869,16305,5,3,115448,1154.48,116602.48,1765779501,0
122067889,16305,3,4,61446,614.46,62060.46,1766078955,0
133517643,16305,NA,1,26006,260.06,26266.06,1766126295,0
137025426,16305,5,2,12644,126.44,12770.44,1766510220,0
134347098,16305,1,4,3523,35.23,3558.23,1766682874,0
101683220,16305,1,2,12621,126.21,12747.21,1766746845,0
120852198,16305,3,2,2592,25.92,2617.92,1766771220,0
136412129,16482,5,2,142,1.42,143.42,1765436256,1
129048752,16650,3,4,217,2.17,219.17,1766136861,1
122117600,16741,5,4,284,2.84,286.84,1766444272,1
125729058,16741,2,2,370,3.7,373.7,1767184104,0
104446759,16823,5,3,401,4.01,405.01,1764806505,1
119549965,16823,NA,2,375,3.75,378.75,1765346103,0
111512976,16823,1,2,517,5.17,522.17,1766964116,0
134583407,16983,5,2,1245,12.45,1257.45,1764594750,1
100846431,16983,5,1,118,1.18,119.18,1766232584,0
144710457,16983,5,2,295,2.95,297.95,1766735853,0
107350381,16983,3,2,150,1.5,151.5,1766858255,0
111414515,17066,5,4,312,3.12,315.12,1764547204,1
143241479,17066,4,1,463,4.63,467.63,1764610741,0
147468482,17066,4,3,327,3.27,330.27,1765472658,0
127275800,17066,3,2,919,9.19,928.19,1765785376,0
137198117,17093,5,2,274,2.74,276.74,1766316184,1
108163410,17095,1,2,56800,568,57368,1764622222,1
107008601,17095,3,2,18132,181.32,18313.32,1765058683,0
123022427,17095,1,2,1830,18.3,1848.3,1765168902,0
127673975,17095,1,5,9248,92.48,9340.48,1765214986,0
149014161,17095,3,4,86604,866.04,87470.04,1765380311,0
141945098,17095,4,3,11748,117.48,11865.48,1765439810,0
125295766,17095,4,2,2588,25.88,2613.88,1765951892,0
141721371,17095,5,1,8182,81.82,8263.82,1765973152,0
100747800,17095,5,2,2819,28.19,2847.19,1766204964,0
113502517,17095,3,2,2664,26.64,2690.64,1766434787,0
134046053,17095,2,2,39984,399.84,40383.84,1766753029,0
139523687,17095,2,5,875,8.75,883.75,1766764822,0
107875671,17095,4,2,3531,35.31,3566.31,1767185317,0
100063045,17112,3,4,203,2.03,205.03,1764868059,1
124695068,17144,2,4,341,3.41,344.41,1764628276,1
139549989,17144,4,2,476,4.76,480.76,1766244987,0
104155632,17337,2,4,282,2.82,284.82,1764869712,1
146162223,17337,1,2,240,2.4,242.4,1766215841,0
145403212,17337,2,4,341,3.41,344.41,1766647204,0
130475651,17414,4,2,299,2.99,301.99,1764580899,1
146026266,17414,2,4,172,1.72,173.72,1765065952,0
127513582,17448,4,4,588,5.88,593.88,1764524567,1
125209970,17522,4,5,229,2.29,231.29,1766230060,1
102692867,17522,5,2,87,0.87,87.87,1766660143,0
141929776,17611,3,3,198,1.98,199.98,1766597720,1
101286128,17639,2,1,434,4.34,438.34,1765775521,1
135908967,17658,1,2,548,5.48,553.48,1765258852,1
113833888,17660,1,2,165,1.65,166.65,1764764641,1
128564073,17819,5,4,278,2.78,280.78,1765247412,1
102336467,17819,2,2,140,1.4,141.4,1765923346,0
130231369,17850,3,4,5831,58.31,5889.31,1764655737,1
112202142,17850,5,2,788,7.88,795.88,1765025424,0
146160162,17850,3,2,18459,184.59,18643.59,1765129825,0
119397742,17850,1,5,1853,18.53,1871.53,1765320153,0
122223450,17850,2,2,24472,244.72,24716.72,1765375978,0
138179114,17850,5,4,1975,19.75,1994.75,1765434233,0
118157839,17850,3,2,1196,11.96,1207.96,1765672698,0
115358784,17850,1,4,4820,48.2,4868.2,1765770678,0
101104022,17850,4,2,14679,146.79,14825.79,1765882352,0
110778386,17850,2,2,83615,836.15,84451.15,1766067798,0
129198774,17850,2,4,8683,86.83,8769.83,1766185673,0
130055179,17850,4,5,2042,20.42,2062.42,1766297021,0
139124720,17850,4,NA,1637,16.37,1653.37,1766384124,0
104074680,17850,2,2,1304,13.04,1317.04,1766401383,0
114115315,17850,4,2,1202,12.02,1214.02,1766702766,0
149855578,17850,5,2,2567,25.67,2592.67,1766753055,0
142124455,17850,2,2,11200,112,11312,1766866827,0
107330166,17850,1,5,5629,56.29,5685.29,1766908385,0
124341027,17850,4,3,1448,14.48,1462.48,1767029537,0
133691775,17850,3,4,14656,146.56,14802.56,1767161474,0
114779608,17853,5,2,346,3.46,349.46,1767098421,1
120305890,18111,2,2,295,2.95,297.95,1765978176,1
125359694,18132,4,4,521,5.21,526.21,1764532930,1
108608846,18132,5,5,180,1.8,181.8,1766065442,0
120728257,18223,3,1,232,2.32,234.32,1765514896,1
146156499,18241,2,4,136,1.36,137.36,1765608259,1
149346339,18241,5,2,298,2.98,300.98,1766336453,0
131717697,18241,2,4,274,2.74,276.74,1766727594,0
119946564,18404,3,2,220,2.2,222.2,1766253242,1
134284408,18465,5,2,396,3.96,399.96,1765753271,1
121781791,18465,5,1,196,1.96,197.96,1765908190,0
130334401,18480,3,4,620,6.2,626.2,1765176639,1
120557341,18514,3,1,143,1.43,144.43,1764665272,1
149908457,18585,3,2,3561,35.61,3596.61,1764918793,1
131506034,18585,3,1,49216,492.16,49708.16,1765092194,0
120905011,18585,3,2,5316,53.16,5369.16,1765196022,0
148626814,18585,3,2,9794,97.94,9891.94,1765428986,0
145774228,18585,1,5,5080,50.8,5130.8,1765732132,0
113289265,18585,4,5,5914,59.14,5973.14,1765889916,0
107511918,18585,4,2,3935,39.35,3974.35,1766441453,0
107297622,18585,2,2,40954,409.54,41363.54,1766656112,0
148168828,18585,4,2,74749,747.49,75496.49,1766664967,0
125619750,18585,2,2,1648,16.48,1664.48,1766864509,0
145878813,18585,1,4,116267,1162.67,117429.67,1767016389,0
125605859,18585,1,2,4582,45.82,4627.82,1767182808,0
140376707,18722,5,4,210,2.1,212.1,1765696236,1
120508421,18758,1,4,244,2.44,246.44,1764678490,1
138954690,18795,3,4,4430,44.3,4474.3,1764572471,1
126903843,18795,4,5,1913,19.13,1932.13,1764846746,0
141937565,18795,3,2,30121,301.21,30422.21,1765260094,0
126591051,18795,5,2,1682,16.82,1698.82,1765325676,0
145333316,18795,4,4,1678,16.78,1694.78,1765334484,0
114099043,18795,1,2,2415,24.15,2439.15,1765473418,0
111971665,18795,2,2,1463,14.63,1477.63,1765714999,0
135785515,18795,4,2,5043,50.43,5093.43,1766117587,0
118498686,18795,1,2,19802,198.02,20000.02,1766386701,0
135204122,18795,5,2,3895,38.95,3933.95,1766499698,0
100382271,18795,4,4,2934,29.34,2963.34,1766649251,0
141431347,18795,5,3,69956,699.56,70655.56,1766682623,0
136129256,18795,4,2,2518,25.18,2543.18,1766792799,0
121699782,18795,4,2,8646,86.46,8732.46,1766806083,0
129043742,18795,3,2,10594,105.94,10699.94,1767012267,0
149188998,18795,3,4,2723,27.23,2750.23,1767137937,0
121692161,18810,5,2,125,1.25,126.25,1766250091,1
131783175,18810,3,1,515,5.15,520.15,1766406318,0
131110482,18831,5,4,156,1.56,157.56,1766146130,1
146637566,18831,3,3,160,1.6,161.6,1766212793,0
140207829,18882,1,1,265,2.65,267.65,1765462971,1
148827031,19017,1,4,481,4.81,485.81,1765051398,1
117814814,19017,1,4,592,5.92,597.92,1766556193,0
117827023,19053,2,5,119,1.19,120.19,1765024698,1
111093629,19053,4,5,283,2.83,285.83,1765200087,0
111072071,19053,1,3,162,1.62,163.62,1765487307,0
132849403,19164,2,2,325,3.25,328.25,1766232795,1
141298930,19377,NA,4,346,3.46,349.46,1765732007,1
129238344,19431,4,2,11954,119.54,12073.54,1764555067,1
105173082,19431,4,5,3050,30.5,3080.5,1764677729,0
146378776,19431,3,2,2304,23.04,2327.04,1764696871,0
119083879,19431,1,3,3074,30.74,3104.74,1765024176,0
102302115,19431,1,3,12891,128.91,13019.91,1765029371,0
149224158,19431,4,4,5252,52.52,5304.52,1765138376,0
108613759,19431,3,4,13678,136.78,13814.78,1765216116,0
122166938,19431,4,3,1479,14.79,1493.79,1765368333,0
141344046,19431,3,2,3796,37.96,3833.96,1765819787,0
110739566,19431,4,4,9499,94.99,9593.99,1765891862,0
106678950,19431,4,4,16948,169.48,17117.48,1765952477,0
107300737,19431,3,2,2766,27.66,2793.66,1766220313,0
105966494,19431,1,2,7237,72.37,7309.37,1766274963,0
126099634,19431,3,5,53165,531.65,53696.65,1766343594,0
103518543,19431,4,2,1210,12.1,1222.1,1766637005,0
134843727,19431,5,2,32025,320.25,32345.25,1766648009,0
106306596,19431,3,2,8031,80.31,8111.31,1766828961,0
149577777,19431,2,4,2099,20.99,2119.99,1766872897,0
118800482,19431,2,2,991,9.91,1000.91,1766889999,0
119459149,19431,4,5,3614,36.14,3650.14,1766962844,0
107020993,19431,3,4,72364,723.64,73087.64,1767064374,0
106473897,19431,1,4,6836,68.36,6904.36,1767131765,0
142756211,19431,5,5,80221,802.21,81023.21,1767134736,0
147728499,19464,2,5,190,1.9,191.9,1766669025,1
124452105,19594,2,3,217,2.17,219.17,1766127401,1
124705797,19754,4,2,395,3.95,398.95,1764714227,1
105429985,19754,1,5,272,2.72,274.72,1765041633,0
108479358,19754,4,5,290,2.9,292.9,1765092330,0
121388790,19762,5,2,316,3.16,319.16,1764978899,1
121859645,19762,3,4,344,3.44,347.44,1765468000,0
110670232,19762,2,2,113,1.13,114.13,1766107791,0
125640410,19762,5,4,198,1.98,199.98,1766558161,0
124058774,19949,5,2,4023,40.23,4063.23,1764762237,1
133811307,19949,1,5,13370,133.7,13503.7,1764803635,0
105740002,19949,2,2,3118,31.18,3149.18,1764837229,0
141749040,19949,1,4,11125,111.25,11236.25,1764998060,0
115998448,19949,1,1,1278,12.78,1290.78,1765007838,0
125426951,19949,5,5,11563,115.63,11678.63,1765011711,0
108834921,19949,4,4,19470,194.7,19664.7,1765244849,0
103620763,19949,4,5,4123,41.23,4164.23,1765370298,0
147178619,19949,5,4,8612,86.12,8698.12,1765543412,0
139445300,19949,3,4,3327,33.27,3360.27,1765543857,0
137780214,19949,4,2,5686,56.86,5742.86,1765676708,0
133115253,19949,3,4,2999,29.99,3028.99,1765955465,0
114530543,19949,3,4,1625,16.25,1641.25,1766009949,0
123546789,19949,4,2,1759,17.59,1776.59,1766300086,0
118826500,19949,3,4,5650,56.5,5706.5,1766385095,0
123096290,19949,2,4,3235,32.35,3267.35,1766491970,0
142257661,19949,3,3,2237,22.37,2259.37,1766910753,0
125304377,19949,4,2,1479,14.79,1493.79,1767182855,0
136023067,19999,3,2,510,5.1,515.1,1765056920,1
117350486,19999,2,5,126,1.26,127.26,1766080312,0
117657937,19999,5,2,393,3.93,396.93,1767010395,0
141669270,20175,4,NA,234,2.34,236.34,1764870438,1
107824590,20224,2,4,152,1.52,153.52,1767183360,1
105689365,20283,4,4,376,3.76,379.76,1765543109,1
107500980,20283,1,1,194,1.94,195.94,1766213153,0
101794634,20283,1,2,477,4.77,481.77,1766542623,0
125146190,20452,1,1,315,3.15,318.15,1766730817,1
107777755,20477,4,4,496,4.96,500.96,1765831974,1
126050014,20477,4,3,447,4.47,451.47,1767193918,0
148352883,20548,1,3,130,1.3,131.3,1766291932,1
123857727,20548,2,2,89,0.89,89.89,1766300263,0
142915864,20548,3,2,120,1.2,121.2,1766862775,0
121114198,20747,3,2,486,4.86,490.86,1765206392,1
144541545,20747,4,5,73,0.73,73.73,1766321697,0
124746218,20833,5,5,87,0.87,87.87,1764880245,1
105091575,20833,4,1,341,3.41,344.41,1765197186,0
115998729,20833,5,2,349,3.49,352.49,1765397578,0
